from,to,weight
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,46._doc-doc-doc,3
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,47._doc-doc-doc,3
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,48._doc-doc-doc,3
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,49._doc,1
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,50._doc,1
5._fst-doc-key-ref-doc-fst-class-fst-rec-rec-author-key-cite-doc-rec-fst-ref,51._doc,1
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,52._ref-doc-fst-doc-doc-doc-doc,7
52._ref-doc-fst-doc-doc-doc-doc,53._doc,1
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,55._doc-doc-doc-doc,4
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,56._doc-doc-doc-doc,4
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,57._doc-doc-doc-doc,4
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,58._doc-doc-doc,3
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,59._doc-doc,2
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,60._doc,1
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,61._doc,1
4._fst-fst-doc-doc-key-cite-fst-doc-doc-doc-doc-fst-doc-doc-fst-key-doc-key-doc-fst-doc,62._doc,1
3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,62._doc-doc-doc-doc-doc-doc-doc,7
3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,63._doc-doc-doc-doc,4
3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,64._doc-doc,2
3._fst-ref-doc-fst-key-cite-doc-author-doc-fst-author-author-author-rec-rec-doc-rec-rec-fst-key-rec-fst-rec-fst-cite,65._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,13
66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,67._doc-doc-fst-doc-doc,5
66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,68._doc-doc-doc,3
66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,69._doc,1
66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,70._doc,1
66._ref-doc-doc-doc-doc-doc-author-author-fst-doc-ref-doc-rec,71._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,73._cite-cite-doc-doc-doc-journal-doc-doc,8
73._cite-cite-doc-doc-doc-journal-doc-doc,74._doc,1
74._doc,75._ref,1
75._ref,76._doc,1
76._doc,77._rec,1
77._rec,78._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,80._author-doc-doc-doc,4
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,81._doc-doc,2
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,82._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,83._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,84._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,85._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,86._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,87._doc,1
2._doc-doc-doc-doc-fst-author-fst-doc-doc-doc-doc-fst-doc-fst-fst-doc-doc-doc-doc-doc-fst-doc-doc-doc-fst-key-doc-class-doc-doc-doc-doc,88._doc,1
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,87._doc-doc-doc-doc-doc-doc-doc-class-doc-doc-doc-doc-fst-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,26
87._doc-doc-doc-doc-doc-doc-doc-class-doc-doc-doc-doc-fst-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,88._key-journal-fst-rec-cite,5
88._key-journal-fst-rec-cite,89._doc-doc-doc-doc,4
89._doc-doc-doc-doc,90._rec,1
88._key-journal-fst-rec-cite,92._doc,1
87._doc-doc-doc-doc-doc-doc-doc-class-doc-doc-doc-doc-fst-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,93._doc-doc,2
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,94._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,24
94._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,95._ref-journal,2
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,97._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,17
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,98._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,15
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,99._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,11
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,100._doc-doc-doc-doc-doc-doc-doc-doc-doc,9
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,101._doc-doc-doc-doc-doc-doc-doc-doc-doc,9
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,102._doc-doc-doc-doc-doc-doc-doc,7
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,103._doc-doc-doc-doc-doc-doc-doc,7
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,104._doc-doc-doc-doc,4
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,105._doc-doc-doc,3
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,106._doc-doc-doc,3
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,107._doc-doc,2
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,108._doc-doc,2
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,109._doc-doc,2
1._ref-ref-rec-cite-fst-fst-fst-author-fst-ref-ref-fst-rec-fst-ref-fst-key-author-rec-ref-fst-fst-fst-rec-fst-key-rec-key-rec-rec-ref-key,110._doc,1
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,23
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,110._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,19
110._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,111._rec-cite-key-rec,4
111._rec-cite-key-rec,112._doc-doc,2
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,114._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,17
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,115._doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc-doc,12
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,116._doc-doc-doc-doc-doc-doc-doc,7
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,117._doc-doc-doc,3
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,118._doc-doc-doc,3
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,119._doc-doc-doc,3
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,120._doc-doc-doc,3
109._cite-rec-ref-rec-author-ref-cite-fst-ref-fst-cite-class-author-cite-cite-rec-fst-cite-rec-cite-ref-author-ref,121._doc-doc,2
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,122._key-cite-key-ref-rec-fst-fst-rec-author-cite-fst-key-key-class-author-fst-fst-key-ref-key-fst-cite-fst-fst-cite,25
122._key-cite-key-ref-rec-fst-fst-rec-author-cite-fst-key-key-class-author-fst-fst-key-ref-key-fst-cite-fst-fst-cite,123._doc-key-doc-key-doc-doc-doc-doc-doc-fst-doc-key-doc-doc-fst-key-fst-doc-fst-fst-doc,21
123._doc-key-doc-key-doc-doc-doc-doc-doc-fst-doc-key-doc-doc-fst-key-fst-doc-fst-fst-doc,124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,11
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,125._doc-doc-fst-key-author-doc-doc-doc-doc-key,10
125._doc-doc-fst-key-author-doc-doc-doc-doc-key,126._rec-author-rec-cite-key,5
126._rec-author-rec-cite-key,127._key-doc-doc-doc,4
127._key-doc-doc-doc,128._key,1
128._key,129._doc,1
128._key,130._doc,1
128._key,131._doc,1
126._rec-author-rec-cite-key,133._doc-author,2
126._rec-author-rec-cite-key,134._doc,1
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,135._doc-journal-doc-doc-doc-doc,6
135._doc-journal-doc-doc-doc-doc,136._rec,1
136._rec,137._doc,1
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,139._author-doc-doc-doc,4
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,140._doc-doc,2
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,141._doc,1
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,142._doc,1
124._rec-fst-fst-fst-key-fst-key-fst-author-key-doc,143._doc,1
123._doc-key-doc-key-doc-doc-doc-doc-doc-fst-doc-key-doc-doc-fst-key-fst-doc-fst-fst-doc,143._doc-doc,2
122._key-cite-key-ref-rec-fst-fst-rec-author-cite-fst-key-key-class-author-fst-fst-key-ref-key-fst-cite-fst-fst-cite,144._doc-doc-doc-doc-doc,5
122._key-cite-key-ref-rec-fst-fst-rec-author-cite-fst-key-key-class-author-fst-fst-key-ref-key-fst-cite-fst-fst-cite,145._doc-doc,2
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,146._cite-key-key-fst-author-key-ref-rec-cite-ref-ref-cite-rec,13
146._cite-key-key-fst-author-key-ref-rec-cite-ref-ref-cite-rec,147._doc-doc-fst-doc-doc-doc-doc-doc-doc-doc,10
146._cite-key-key-fst-author-key-ref-rec-cite-ref-ref-cite-rec,148._doc-doc-doc-doc-doc-doc-doc,7
146._cite-key-key-fst-author-key-ref-rec-cite-ref-ref-cite-rec,149._doc-doc-doc-doc,4
146._cite-key-key-fst-author-key-ref-rec-cite-ref-ref-cite-rec,150._doc-doc-doc,3
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,152._key-cite-key,3
152._key-cite-key,153._key-doc,2
153._key-doc,154._key,1
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,156._key,1
0._p18-p27-s6-s14-s1-s12-p32-s16-s13-p23-s9-p20-s10-s11-p31-p28-p26-p29-s5-p21-p17-s8-p24-p30-s15-p22-s3-s7-p19-s4-s2-p25,157._key,1
